
[00:00:00.000 --> 00:00:04.400]  早上好,非常感謝大家來到江鄭劇院參加我們的活動
[00:18:18.400 --> 00:18:20.400]  我已經有批文
[00:18:20.400 --> 00:18:22.400]  我給了他們照片
[00:18:22.400 --> 00:18:24.400]  我們演出的
[00:18:24.400 --> 00:18:26.400]  你知道內地還有一件事
[00:18:26.400 --> 00:18:28.400]  我們要習慣的
[00:18:28.400 --> 00:18:30.400]  通常只有一天進台
[00:18:30.400 --> 00:18:32.400]  第二天就要演
[00:18:32.400 --> 00:18:34.400]  我們試過早上進台 晚上就要演
[00:18:34.400 --> 00:18:36.400]  因為場租很貴
[00:18:36.400 --> 00:18:38.400]  所以這件事
[00:18:38.400 --> 00:18:40.400]  我們平時是整個星期的
[00:18:40.400 --> 00:18:42.400]  所以這個又要習慣
[00:18:42.400 --> 00:18:44.400]  而且效率一定快
[00:18:44.400 --> 00:18:46.400]  有時候我們太幸福
[00:18:46.400 --> 00:18:48.400]  我們習慣了
[00:18:48.400 --> 00:18:50.400]  其實不應該的
[00:18:50.400 --> 00:18:52.400]  其實是要買的
[00:18:52.400 --> 00:18:54.400]  其實在商業的世界
[00:18:54.400 --> 00:18:56.400]  盡量在有限的資源做最多的事
[00:18:56.400 --> 00:18:58.400]  這件事我們要習慣
[00:18:58.400 --> 00:19:00.400]  所以最好
[00:19:00.400 --> 00:19:02.400]  如果你內地巡演的話
[00:19:02.400 --> 00:19:04.400]  你最好有一套東西在內地
[00:19:04.400 --> 00:19:06.400]  你不用去報關
[00:19:06.400 --> 00:19:08.400]  不然其實可以的
[00:19:08.400 --> 00:19:10.400]  你就要提早去報關
[00:19:10.400 --> 00:19:12.400]  涉及費用
[00:19:12.400 --> 00:19:14.400]  涉及很多程序
[00:19:14.400 --> 00:19:16.400]  你想問的話
[00:19:16.400 --> 00:19:18.400]  你就可以問
[00:19:18.400 --> 00:19:20.400]  因為每個案例不同
[00:19:20.400 --> 00:19:22.400]  我不能一概而論
[00:19:22.400 --> 00:19:24.400]  其實行不行是他們說的
[00:19:24.400 --> 00:19:26.400]  所以你最好
[00:19:26.400 --> 00:19:28.400]  帶齊資料去問他們
[00:19:28.400 --> 00:19:30.400]  拿出所有表
[00:19:30.400 --> 00:19:32.400]  你有了
[00:19:32.400 --> 00:19:34.400]  你不要以為省有批文
[00:19:34.400 --> 00:19:36.400]  你就一定行不行
[00:19:36.400 --> 00:19:38.400]  真的分開不同城市
[00:19:38.400 --> 00:19:40.400]  不同關口都不行
[00:19:40.400 --> 00:19:42.400]  在那裏申請就在那裏通過
[00:19:42.400 --> 00:19:44.400]  不要去到另一個關口通過
[00:19:44.400 --> 00:19:46.400]  我當時為何通過呢
[00:19:46.400 --> 00:19:48.400]  這些就是我們做戲劇人
[00:19:48.400 --> 00:19:50.400]  演員就好了
[00:19:50.400 --> 00:19:52.400]  我就走去跟一個女的
[00:19:52.400 --> 00:19:54.400]  那個時候就是我的同事Suzuki
[00:19:54.400 --> 00:19:56.400]  我就跟她說你在我面前哭吧
[00:19:56.400 --> 00:20:02.400]  有兩個小朋友在等我們
[00:20:02.400 --> 00:20:06.400]  最後就被我們通過了
[00:20:06.400 --> 00:20:10.400]  是不是很有趣這個經驗
[00:20:10.400 --> 00:20:12.400]  我們清謀
[00:20:12.400 --> 00:20:14.400]  清謀少一些人
[00:20:14.400 --> 00:20:16.400]  心實不用想
[00:20:16.400 --> 00:20:18.400]  我們沒有經驗
[00:20:18.400 --> 00:20:24.400]  有些人情味
[00:20:24.400 --> 00:20:26.400]  我覺得我走去哭是沒有用的
[00:20:26.400 --> 00:20:30.400]  雖然我很喜歡哭
[00:20:30.400 --> 00:20:32.400]  但我覺得沒有用
[00:20:32.400 --> 00:20:34.400]  要找一個女的過去
[00:20:34.400 --> 00:20:36.400]  然後就給她一些相片
[00:20:36.400 --> 00:20:38.400]  然後就說小朋友在等我們
[00:20:38.400 --> 00:20:40.400]  我們要演了
[00:20:40.400 --> 00:20:42.400]  最後是讓我們過了
[00:20:42.400 --> 00:20:44.400]  但我們要另外訂多一架車
[00:20:44.400 --> 00:20:46.400]  因為那架車要走了
[00:20:46.400 --> 00:20:48.400]  我們要再訂多一架
[00:20:48.400 --> 00:20:50.400]  車了部分人
[00:20:50.400 --> 00:20:52.400]  和演員先過去
[00:20:52.400 --> 00:20:54.400]  我們就遞完
[00:20:54.400 --> 00:20:56.400]  有一個這樣的經驗和大家分享
[00:20:56.400 --> 00:20:58.400]  這件事完了之後
[00:20:58.400 --> 00:21:00.400]  去到下一個
[00:21:00.400 --> 00:21:02.400]  其實就是去到當地
[00:21:02.400 --> 00:21:04.400]  你就會涉及到一些交通
[00:21:04.400 --> 00:21:06.400]  住宿
[00:21:06.400 --> 00:21:08.400]  你一定要去安排
[00:21:08.400 --> 00:21:10.400]  和劇院溝通
[00:21:10.400 --> 00:21:12.400]  這個溝通一定是事先的
[00:21:12.400 --> 00:21:14.400]  你最好最好一定要
[00:21:14.400 --> 00:21:16.400]  和你的SM team
[00:21:16.400 --> 00:21:18.400]  上去劇院
[00:21:18.400 --> 00:21:20.400]  看清楚所有的東西
[00:21:20.400 --> 00:21:22.400]  你要
[00:21:22.400 --> 00:21:24.400]  確保最穩妥
[00:21:24.400 --> 00:21:26.400]  如果有這樣的空間
[00:21:26.400 --> 00:21:28.400]  在溝通的過程裏
[00:21:28.400 --> 00:21:30.400]  千萬不要
[00:21:30.400 --> 00:21:32.400]  拿自己慣常的
[00:21:32.400 --> 00:21:34.400]  做法的概念
[00:21:34.400 --> 00:21:36.400]  這樣和別人談
[00:21:36.400 --> 00:21:38.400]  我覺得是不行的
[00:21:38.400 --> 00:21:40.400]  我們要做的是
[00:21:40.400 --> 00:21:42.400]  要了解那個劇院
[00:21:42.400 --> 00:21:44.400]  他們的行銷的管理方式
[00:21:44.400 --> 00:21:46.400]  他的概念是怎樣
[00:21:46.400 --> 00:21:48.400]  去計算我們
[00:21:48.400 --> 00:21:50.400]  要另外加多少人手
[00:21:50.400 --> 00:21:52.400]  和器材
[00:21:52.400 --> 00:21:54.400]  你不要逼他
[00:21:54.400 --> 00:21:56.400]  我們自己去找方法
[00:21:56.400 --> 00:21:58.400]  去解決
[00:21:58.400 --> 00:22:00.400]  你才可以確保到
[00:22:00.400 --> 00:22:02.400]  我們演出的順利
[00:22:02.400 --> 00:22:04.400]  這是一點點的經驗
[00:22:04.400 --> 00:22:06.400]  第二
[00:22:06.400 --> 00:22:08.400]  也想和大家
[00:22:08.400 --> 00:22:10.400]  講一下
[00:22:10.400 --> 00:22:12.400]  我們事件內部
[00:22:12.400 --> 00:22:14.400]  如果我們要靠資助
[00:22:14.400 --> 00:22:16.400]  很多時候
[00:22:16.400 --> 00:22:18.400]  我們的邀約
[00:22:18.400 --> 00:22:20.400]  或者我們和計劃合作的時候
[00:22:20.400 --> 00:22:22.400]  我們不能一年前
[00:22:22.400 --> 00:22:24.400]  但現在我們資助的政策
[00:22:24.400 --> 00:22:26.400]  一年前就要寫
[00:22:26.400 --> 00:22:28.400]  我想我們業界已經不斷
[00:22:28.400 --> 00:22:30.400]  和有關部門反映這件事
[00:22:30.400 --> 00:22:32.400]  但未有一個
[00:22:32.400 --> 00:22:36.400]  有一個新的政策的情況下
[00:22:36.400 --> 00:22:38.400]  我們要做的就是嘗試一下
[00:22:38.400 --> 00:22:42.400]  我自己覺得是你要量相很重要
[00:22:42.400 --> 00:22:44.400]  你要讓內地的朋友認識你這個脫
[00:22:44.400 --> 00:22:46.400]  或者你這個戲劇工作者
[00:22:46.400 --> 00:22:48.400]  很重要
[00:22:48.400 --> 00:22:50.400]  所以不妨去捉一些
[00:22:50.400 --> 00:22:52.400]  可能相對不用太多
[00:22:52.400 --> 00:22:56.400]  需要花費太多成本資金的項目
[00:22:56.400 --> 00:22:58.400]  譬如脫單
[00:22:58.400 --> 00:23:02.400]  藝術外賣
[00:23:02.400 --> 00:23:05.400]  相對成本輕一些
[00:23:05.400 --> 00:23:07.400]  容易處理
[00:23:07.400 --> 00:23:12.400]  甚至自己貼都搞得定
[00:23:12.400 --> 00:23:13.400]  先去吧
[00:23:13.400 --> 00:23:15.400]  那件事先走了
[00:23:15.400 --> 00:23:18.400]  跟著你有信心就去申請
[00:23:18.400 --> 00:23:20.400]  先申請
[00:23:20.400 --> 00:23:23.400]  跟著再努力去找一個演出機會
[00:23:23.400 --> 00:23:25.400]  我相信今時今日是內地
[00:23:25.400 --> 00:23:28.400]  有很多不同的演出空間
[00:23:28.400 --> 00:23:30.400]  他們很需要內容
[00:23:30.400 --> 00:23:32.400]  他們很需要演出
[00:23:32.400 --> 00:23:34.400]  就看我們有沒有主動
[00:23:34.400 --> 00:23:37.400]  還有怎樣跟他們去談這件事
[00:23:37.400 --> 00:23:40.400]  所以對於我來說
[00:23:40.400 --> 00:23:43.400]  我今日很想跟大家分享的是
[00:23:43.400 --> 00:23:44.400]  首先第一就是
[00:23:44.400 --> 00:23:47.400]  特別是我們自己澳門朋友的性格
[00:23:47.400 --> 00:23:50.400]  我們要嘗試主動一點
[00:23:50.400 --> 00:23:51.400]  大膽一點
[00:23:51.400 --> 00:23:55.400]  不妨提出很多不同的建議方案
[00:23:55.400 --> 00:23:56.400]  跟大家去談
[00:23:56.400 --> 00:24:01.400]  我相信內地很多合作方都很想跟我們合作
[00:24:01.400 --> 00:24:04.400]  對於內地來說
[00:24:04.400 --> 00:24:08.400]  所以就看我們有多少項目在手
[00:24:08.400 --> 00:24:11.400]  有多少料跟他們去溝通
[00:24:11.400 --> 00:24:12.400]  去合作
[00:24:12.400 --> 00:24:15.400]  這個我自己覺得是很重要的一步
[00:24:15.400 --> 00:24:16.400]  我可以跟大家說
[00:24:16.400 --> 00:24:21.400]  有一些項目是我由2008年開始跟他們溝通
[00:24:21.400 --> 00:24:23.400]  談完之後沒有效
[00:24:23.400 --> 00:24:25.400]  隔了五年
[00:24:25.400 --> 00:24:27.400]  突然之間找回我
[00:24:27.400 --> 00:24:30.400]  我們很想跟你合作這個項目
[00:24:30.400 --> 00:24:31.400]  我試過
[00:24:31.400 --> 00:24:33.400]  然後成功了
[00:24:33.400 --> 00:24:34.400]  之後成功了
[00:24:34.400 --> 00:24:37.400]  所以最後跟大家分享一件事
[00:24:37.400 --> 00:24:39.400]  不要氣餒
[00:24:39.400 --> 00:24:42.400]  你提出了原來不知道的
[00:24:42.400 --> 00:24:43.400]  真的不知道的
[00:24:43.400 --> 00:24:44.400]  你給了資料
[00:24:44.400 --> 00:24:47.400]  是完全沒有反應的
[00:24:47.400 --> 00:24:49.400]  沒有了效能
[00:24:49.400 --> 00:24:50.400]  問了我
[00:24:50.400 --> 00:24:52.400]  我其實來了澳門這麼久
[00:24:52.400 --> 00:24:54.400]  有一點被澳門的朋友感染了
[00:24:54.400 --> 00:24:56.400]  問我我就不提了
[00:24:56.400 --> 00:24:58.400]  就當沒事發生過
[00:24:58.400 --> 00:25:02.400]  但不知為何隔了幾年
[00:25:02.400 --> 00:25:03.400]  他又會問我
[00:25:03.400 --> 00:25:06.400]  然後令到那件事又行得通
[00:25:06.400 --> 00:25:11.400]  所以主動準備好自己
[00:25:11.400 --> 00:25:16.400]  這是我們在粵港澳大灣區合作的
[00:25:16.400 --> 00:25:18.400]  我自己的一個提議
[00:25:18.400 --> 00:25:21.400]  我不說那麼多了
[00:25:21.400 --> 00:25:25.400]  留待之後的嘉賓繼續和大家討論
[00:25:25.400 --> 00:25:27.400]  反正我們有一個Q&A
[00:25:27.400 --> 00:25:31.400]  希望我今天的資料可以給到大家
[00:25:31.400 --> 00:25:33.400]  不是什麼很重要的資料
[00:25:33.400 --> 00:25:37.400]  但我最想告訴大家
[00:25:37.400 --> 00:25:39.400]  平台基於在這裡
[00:25:39.400 --> 00:25:42.400]  贊助我們有沒有積極爭取
[00:25:42.400 --> 00:25:45.400]  我相信表哥也好
[00:25:45.400 --> 00:25:47.400]  我們的農莊也好
[00:25:47.400 --> 00:25:49.400]  前面有少少經驗的
[00:25:49.400 --> 00:25:50.400]  我們走過的
[00:25:50.400 --> 00:25:52.400]  很渴望和大家合作
[00:25:52.400 --> 00:25:56.400]  我相信表哥的領導在這裡
[00:25:56.400 --> 00:26:01.400]  農莊是多點合作
[00:26:01.400 --> 00:26:06.400]  希望我們以澳門一個代表的隊伍
[00:26:06.400 --> 00:26:09.400]  這樣打進大環區
[00:26:09.400 --> 00:26:13.400]  這件事可以將我們的市場不斷擴展
[00:26:13.400 --> 00:26:15.400]  多謝大家
[00:26:15.400 --> 00:26:17.400]  謝謝
[00:26:17.400 --> 00:26:18.400]  好 谢谢

